date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:56	30883/30883	---M-Z	200	added ('OK')	application/javascript	etag:%2278a3-61261ef6feb4a-gzip%22	https://www.helpageindia.org/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.js?ver=8.10.0	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag9e64.js	(from https://www.helpageindia.org/)
11:33:56	96874/96874	---M-Z	200	added ('OK')	application/javascript	etag:%2217a6a-61263be812990-gzip%22	https://www.helpageindia.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.helpageindia.org/)
11:33:57	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-61263be785f9c-gzip%22	https://www.helpageindia.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.helpageindia.org/)
11:33:57	125759/125759	---M-Z	200	added ('OK')	application/javascript	etag:%221eb3f-61261e2797307-gzip%22	https://www.helpageindia.org/wp-content/plugins/custom/formvalidation/js/formValidation.min.js?ver=4.9.18	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/custom/formvalidation/js/formValidation.min76d7.js	(from https://www.helpageindia.org/)
11:33:57	2925/2925	---M-Z	200	added ('OK')	application/javascript	etag:%22b6d-61261e2ce1a6d-gzip%22	https://www.helpageindia.org/wp-content/plugins/custom/formvalidation/js/framework/bootstrap.min.js?ver=4.9.18	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/custom/formvalidation/js/framework/bootstrap.min76d7.js	(from https://www.helpageindia.org/)
11:33:57	14900/14900	---M-Z	200	added ('OK')	application/javascript	etag:%223a34-61261e1eb1e54-gzip%22	https://www.helpageindia.org/wp-content/plugins/custom/formvalidation/jquery.form.min.js?ver=4.9.18	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/custom/formvalidation/jquery.form.min76d7.js	(from https://www.helpageindia.org/)
11:33:57	9830/9830	---M-Z	200	added ('OK')	application/javascript	etag:%222666-61261e1c18df0-gzip%22	https://www.helpageindia.org/wp-content/plugins/custom/datepicker/bootstrap-datepicker.js?ver=4.9.18	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/custom/datepicker/bootstrap-datepicker76d7.js	(from https://www.helpageindia.org/)
11:33:58	38664/38664	---M-Z	200	added ('OK')	application/javascript	etag:%229708-61262327d028c-gzip%22	https://www.helpageindia.org/wp-content/plugins/wonderplugin-tabs/engine/wonderplugin-tabs-engine.js?ver=4.5	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/wonderplugin-tabs/engine/wonderplugin-tabs-engine11b8.js	(from https://www.helpageindia.org/)
11:33:58	12239/12239	---M-Z	200	added ('OK')	application/javascript	etag:%222fcf-61261f88ca49b-gzip%22	https://www.helpageindia.org/wp-content/plugins/mailin/js/mailin-front.js?ver=1709061851	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/wp-content/plugins/mailin/js/mailin-frontb38d.js	(from https://www.helpageindia.org/)
11:33:59	872/872	---M-Z	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202024%2006:04:03%20GMT	https://www.helpageindia.org/xmlrpc.php?rsd	C:/Users/admin/OneDrive%20-%20Biztechnosys%20Infotech%20Pvt%20Ltd/Desktop/helpageproject/www.helpageindia.org/xmlrpc0db0.php	(from https://www.helpageindia.org/)
